vendor,mensagem,destino,spam,total
zootude,"ANDRE, a Claro tem uma oferta para voce. Ligue agora 1052 e descubra.",NA,FALSE,183
centigen,"Andre,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,1065
zootude,"ANDRE. Vem pra TIM! Whatsapp e ligacoes ilimitadas e ate 4GB de internet. A partir de R$44,99. Acesse bit.ly/promoTIM ou digite SIM e ligamos pra vc.",TIM,FALSE,272
centigen,"Andrea,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,485
zootude,"ANDREA. Vem pra TIM! Whatsapp e ligacoes ilimitadas e ate 4GB de internet. A partir de R$44,99. Acesse bit.ly/promoTIM ou digite SIM e ligamos pra vc.",TIM,FALSE,160
zootude,"ANDREIA, a Claro tem uma oferta para voce. Ligue agora 1052 e descubra.",NA,FALSE,104
centigen,"Andreia,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,634
centigen,"Andressa,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,325
centigen,"Andreza,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,143
centigen,"Angela,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,468
zootude,"ANGELA. Vem pra TIM! Whatsapp e ligacoes ilimitadas e ate 4GB de internet. A partir de R$44,99. Acesse bit.ly/promoTIM ou digite SIM e ligamos pra vc.",TIM,FALSE,123
centigen,"Angelica,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,200
centigen,"Angelo,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,141
centigen,"Anna,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,125
centigen,"Antonia,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,875
zootude,Antonio volte a utilizar os beneficios do seu plano Vivo Movel. Pague sua conta vencida em  com o codigo de barras,NA,FALSE,148
zootude,Antonio volte a utilizar os beneficios do seu plano Vivo Movel. Pague sua conta vencida em  com o codigo de barras,NA,FALSE,157
zootude,"Antonio, a CLARO ainda precisa de sua ligacao! Ligue 30038080 ou 08002088080 ou acesse Claropaguefacil.com.br e saiba mais",NA,FALSE,226
zootude,"Antonio, a Claro ainda precisa de sua ligacao! Nos retorne ate o final do dia de hoje no 0800 208 8080 ou 3003 8080, se preferir acesse Claropaguefacil.com.br",NA,FALSE,186
zootude,"Antonio, a CLARO ainda precisa de sua ligacao! Retorne ate o final do dia de hoje no 30038080 ou 08002088080 ou acesse Claropaguefacil.com.br",NA,FALSE,176
zootude,"ANTONIO, a Claro preparou uma oferta para voce. Ligue agora 1052 e aproveite.",NA,FALSE,257
zootude,"ANTONIO, a Claro preparou uma oferta para voce. Ligue agora e negocie com ate 20% de desconto.",NA,FALSE,133
zootude,"ANTONIO, a Claro tem uma oferta para voce negociar com ate 30% de desconto. Ligue agora 1052 e aproveite.",NA,FALSE,257
zootude,"ANTONIO, a Claro tem uma oferta para voce. Ligue agora 1052 e descubra.",NA,FALSE,581
centigen,"Antonio,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,3567
zootude,"ANTONIO. Vem pra TIM! Whatsapp e ligacoes ilimitadas e ate 4GB de internet. A partir de R$44,99. Acesse bit.ly/promoTIM ou digite SIM e ligamos pra vc.",TIM,FALSE,546
centigen,"Aparecida,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,452
centigen,"Aparecido,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,142
mailserr,"Aproveite, na OI voce tem 15 GB de internet + Ligacoes e SMS ilimitadas por R$ 99,90 ao mes! ligue 0800 291 2253 ou Responsa SIM para receber um contato AGORA!",Oi,FALSE,920
mailserr,"Aproveite, na OI voce tem 15 GB de internet + Ligacoes e SMS ilimitadas por R$ 99,90 ao mes! ligue 0800 291 2253 ou Responsa SIM para receber um contato AGORA! ",Oi,FALSE,349
zootude,"Aqui e da operadora Oi, informamos que a fatura do mes 05/18 foi cancelada, conforme acordado em seu tratamento PROCON. Duvida nos contate 08000950915 de  (1/2)",NA,FALSE,104
centigen,"Ariane,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,134
centigen,"Arnaldo,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,132
centigen,"Arthur,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,113
centigen,"Augusto,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,140
centigen,"Barbara,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,247
centigen,"Beatriz,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,357
centigen,"Benedita,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,124
centigen,"Benedito,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,208
centigen,"Bianca,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,283
centigen,"Brenda,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,102
centigen,"Bruna,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,761
zootude,"BRUNO, a Claro tem uma oferta para voce. Ligue agora 1052 e descubra.",NA,FALSE,173
centigen,"Bruno,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,1137
zootude,"BRUNO. Vem pra TIM! Whatsapp e ligacoes ilimitadas e ate 4GB de internet. A partir de R$44,99. Acesse bit.ly/promoTIM ou digite SIM e ligamos pra vc.",TIM,FALSE,164
centigen,"Caio,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,215
centigen,"Camila,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,725
centigen,"Carla,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,522
zootude,"CARLA. Vem pra TIM! Whatsapp e ligacoes ilimitadas e ate 4GB de internet. A partir de R$44,99. Acesse bit.ly/promoTIM ou digite SIM e ligamos pra vc.",TIM,FALSE,108
zootude,"Carlos, a CLARO ainda precisa de sua ligacao! Ligue 30038080 ou 08002088080 ou acesse Claropaguefacil.com.br e saiba mais",NA,FALSE,195
zootude,"Carlos, a Claro ainda precisa de sua ligacao! Nos retorne ate o final do dia de hoje no 0800 208 8080 ou 3003 8080, se preferir acesse Claropaguefacil.com.br",NA,FALSE,143
zootude,"Carlos, a CLARO ainda precisa de sua ligacao! Retorne ate o final do dia de hoje no 30038080 ou 08002088080 ou acesse Claropaguefacil.com.br",NA,FALSE,133
zootude,"CARLOS, a Claro preparou uma oferta para voce. Ligue agora 1052 e aproveite.",NA,FALSE,190
zootude,"CARLOS, a Claro preparou uma oferta para voce. Ligue agora e negocie com ate 20% de desconto.",NA,FALSE,107
zootude,"CARLOS, a Claro tem uma oferta para voce negociar com ate 30% de desconto. Ligue agora 1052 e aproveite.",NA,FALSE,171
zootude,"CARLOS, a Claro tem uma oferta para voce. Ligue agora 1052 e descubra.",NA,FALSE,375
centigen,"Carlos,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,2489
zootude,"CARLOS. Vem pra TIM! Whatsapp e ligacoes ilimitadas e ate 4GB de internet. A partir de R$44,99. Acesse bit.ly/promoTIM ou digite SIM e ligamos pra vc.",TIM,FALSE,561
centigen,"Carmen,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,102
centigen,"Carolina,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,259
centigen,"Caroline,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,317
centigen,"Cassia,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,120
centigen,"Catia,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,117
centigen,"Celia,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,326
centigen,"Celio,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,147
centigen,"Celso,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,243
centigen,"Cesar,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,222
centigen,"Charles,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,148
centigen,"Cicera,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,237
centigen,"Cicero,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,521
centigen,"Cintia,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,243
centigen,"Clarice,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,101
difize,"CLARO CONTROLE Traga sua linha e tenha o 4G mais rapido do brasil + Ligacoes ILIMITADAS e  GANHE uma linha claro fixo apenas 72,80 responda SIM OU 0800 042 0177",CLARO,FALSE,15841
difize,CLARO: ANA vc tem Descontos Exclusivos para Celulares e Planos. Receba em Casa. Tudo por WhatsApp click https://goo.gl/iHLLAj,CLARO,FALSE,101
centigen,CLARO: ANA vc tem Descontos Exclusivos para Celulares e Planos. Receba em Casa. Tudo por WhatsApp click https://goo.gl/iHLLAj,CLARO,FALSE,143
difize,CLARO: ANTONIO vc tem Descontos Exclusivos para Celulares e Planos. Receba em Casa. Tudo por WhatsApp click https://goo.gl/iHLLAj,CLARO,FALSE,110
centigen,CLARO: ANTONIO vc tem Descontos Exclusivos para Celulares e Planos. Receba em Casa. Tudo por WhatsApp click https://goo.gl/iHLLAj,CLARO,FALSE,167
difize,CLARO: FRANCISCO vc tem Descontos Exclusivos para Celulares e Planos. Receba em Casa. Tudo por WhatsApp click https://goo.gl/iHLLAj,CLARO,FALSE,113
centigen,CLARO: FRANCISCO vc tem Descontos Exclusivos para Celulares e Planos. Receba em Casa. Tudo por WhatsApp click https://goo.gl/iHLLAj,CLARO,FALSE,175
centigen,CLARO: JOAO vc tem Descontos Exclusivos para Celulares e Planos. Receba em Casa. Tudo por WhatsApp click https://goo.gl/iHLLAj,CLARO,FALSE,116
zootude,"CLARO: JOSE  voce tem direito a uma oferta especial da CLARO, em alguns minutos seu telefone vai tocar, nao deixe de atender, voce nao pode perder ;)",CLARO,FALSE,166
difize,CLARO: JOSE vc tem Descontos Exclusivos para Celulares e Planos. Receba em Casa. Tudo por WhatsApp click https://goo.gl/iHLLAj,CLARO,FALSE,237
centigen,CLARO: JOSE vc tem Descontos Exclusivos para Celulares e Planos. Receba em Casa. Tudo por WhatsApp click https://goo.gl/iHLLAj,CLARO,FALSE,287
difize,CLARO: JOSE vc tem Descontos Exclusivos para Celulares e Planos. Receba em Casa. Tudo por WhatsApp click https://goo.gl/j59Tfk,CLARO,FALSE,192
zootude,"CLARO: MARIA  voce tem direito a uma oferta especial da CLARO, em alguns minutos seu telefone vai tocar, nao deixe de atender, voce nao pode perder ;)",CLARO,FALSE,351
difize,CLARO: MARIA vc tem Descontos Exclusivos para Celulares e Planos. Receba em Casa. Tudo por WhatsApp click https://goo.gl/iHLLAj,CLARO,FALSE,466
centigen,CLARO: MARIA vc tem Descontos Exclusivos para Celulares e Planos. Receba em Casa. Tudo por WhatsApp click https://goo.gl/iHLLAj,CLARO,FALSE,1607
difize,CLARO: MARIA vc tem Descontos Exclusivos para Celulares e Planos. Receba em Casa. Tudo por WhatsApp click https://goo.gl/j59Tfk,CLARO,FALSE,261
centigen,CLARO: vc tem Descontos Exclusivos para Celulares e Planos. Receba em Casa. Tudo por WhatsApp click https://goo.gl/iHLLAj,CLARO,FALSE,796
centigen,"Claudemir,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,127
zootude,"CLAUDIA, a Claro tem uma oferta para voce. Ligue agora 1052 e descubra.",NA,FALSE,130
centigen,"Claudia,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,651
zootude,"CLAUDIA. Vem pra TIM! Whatsapp e ligacoes ilimitadas e ate 4GB de internet. A partir de R$44,99. Acesse bit.ly/promoTIM ou digite SIM e ligamos pra vc.",TIM,FALSE,218
centigen,"Claudinei,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,184
centigen,"Claudio,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,658
zootude,"CLAUDIO. Vem pra TIM! Whatsapp e ligacoes ilimitadas e ate 4GB de internet. A partir de R$44,99. Acesse bit.ly/promoTIM ou digite SIM e ligamos pra vc.",TIM,FALSE,159
centigen,"Cleber,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,195
centigen,"Cleide,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,174
centigen,"Cleiton,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,163
centigen,"Cleonice,mantenha seu plano da TIM em dia! Efetue o pagamento da divida.Evite a sua permanencia do debito,caso ja tenha pago, favor desconsiderar.",NA,FALSE,139
